batch_id,loop_id,step_order,loop_path,from_id,to_id,amount,timestamp,confidence_score,transactions_scanned,audit_reason
50,batch_50_loop_1,1,EMP_FRAUD_C -> VEND_SHELL_C -> SUB_PAYBACK_C -> EMP_FRAUD_C,EMP_FRAUD_C,VEND_SHELL_C,14353.29,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_1,2,EMP_FRAUD_C -> VEND_SHELL_C -> SUB_PAYBACK_C -> EMP_FRAUD_C,VEND_SHELL_C,SUB_PAYBACK_C,13621.6,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_1,3,EMP_FRAUD_C -> VEND_SHELL_C -> SUB_PAYBACK_C -> EMP_FRAUD_C,SUB_PAYBACK_C,EMP_FRAUD_C,14103.34,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_2,1,EMP_FRAUD_B -> VEND_SHELL_B -> SUB_PAYBACK_B -> EMP_FRAUD_B,EMP_FRAUD_B,VEND_SHELL_B,11677.33,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_2,2,EMP_FRAUD_B -> VEND_SHELL_B -> SUB_PAYBACK_B -> EMP_FRAUD_B,VEND_SHELL_B,SUB_PAYBACK_B,9414.95,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_2,3,EMP_FRAUD_B -> VEND_SHELL_B -> SUB_PAYBACK_B -> EMP_FRAUD_B,SUB_PAYBACK_B,EMP_FRAUD_B,8965.23,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_3,1,EMP_FRAUD_A -> VEND_SHELL_A -> SUB_PAYBACK_A -> EMP_FRAUD_A,EMP_FRAUD_A,VEND_SHELL_A,13721.46,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_3,2,EMP_FRAUD_A -> VEND_SHELL_A -> SUB_PAYBACK_A -> EMP_FRAUD_A,VEND_SHELL_A,SUB_PAYBACK_A,13212.85,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
50,batch_50_loop_3,3,EMP_FRAUD_A -> VEND_SHELL_A -> SUB_PAYBACK_A -> EMP_FRAUD_A,SUB_PAYBACK_A,EMP_FRAUD_A,12765.49,2026-04-13T06:22:27.387415Z,100.0,416,Circular Fund Flow
51,batch_51_loop_1,1,EMP_FRAUD_C -> VEND_SHELL_C -> SUB_PAYBACK_C -> EMP_FRAUD_C,EMP_FRAUD_C,VEND_SHELL_C,0.0,Historical,92.81,420,Circular Fund Flow
